home_team,away_team,posteam,side_of_field,yardline_100,half_seconds_remaining,game_seconds_remaining,game_half,down,ydstogo,ydsnet,yards_gained,score_differential,fourth_down_converted,fourth_down_failed,field_goal_attempt,punt_attempt,penalty
MIA,NYJ,NYJ,NYJ,66,1240,3040,Half1,4,6,30,26,-7,1,0,0,0,0
MIA,NYJ,NYJ,MIA,40,298,2098,Half1,4,3,51,12,-3,1,0,0,0,0
CIN,HOU,HOU,CIN,13,988,2788,Half1,4,1,56,1,0,1,0,0,0,0
GB,DET,DET,GB,21,915,2715,Half1,4,1,40,-1,-14,0,1,0,0,0
GB,DET,DET,DET,55,64,1864,Half1,4,3,23,-1,-20,0,1,0,0,0
NO,NYG,NO,NYG,2,1343,3143,Half1,4,1,70,2,0,1,0,0,0,0
NO,NYG,NO,NYG,1,60,1860,Half1,4,1,55,0,10,0,1,0,0,1
NO,NYG,NYG,NO,20,798,798,Half2,4,8,70,10,-24,1,0,0,0,0
PIT,CLE,PIT,CLE,14,35,1835,Half1,4,1,52,1,7,1,0,0,0,0
TB,CAR,CAR,TB,3,1670,1670,Half2,4,1,11,2,0,1,0,0,0,0
WAS,KC,KC,WAS,44,1549,3349,Half1,4,1,11,2,0,1,0,0,0,0
WAS,KC,KC,WAS,24,1019,2819,Half1,4,2,41,-5,0,0,1,0,0,0
WAS,KC,WAS,KC,36,6,1806,Half1,4,2,52,0,-3,0,1,0,0,0
OAK,PHI,PHI,PHI,71,395,2195,Half1,4,1,45,2,-7,1,0,0,0,0
OAK,PHI,OAK,PHI,40,1472,1472,Half2,4,1,23,0,4,0,1,0,0,0
OAK,PHI,PHI,OAK,43,141,141,Half2,4,4,37,0,-4,0,1,0,0,0
SEA,ARI,SEA,SEA,62,383,2183,Half1,4,3,49,42,-17,1,0,0,0,0
NE,TEN,TEN,NE,17,1382,1382,Half2,4,10,26,-22,-52,0,1,0,0,0
NE,TEN,NE,TEN,31,1073,1073,Half2,4,6,60,14,52,1,0,0,0,0
NE,TEN,NE,TEN,11,700,700,Half2,4,7,37,5,59,0,1,0,0,0
NE,TEN,TEN,NE,41,422,422,Half2,4,1,58,5,-59,0,1,0,0,0
NYJ,BUF,NYJ,NYJ,58,1212,3012,Half1,4,1,26,2,-3,1,0,0,0,0
NYJ,BUF,NYJ,BUF,35,851,851,Half2,4,3,38,0,0,0,1,0,0,0
NYJ,BUF,NYJ,BUF,32,669,669,Overtime,4,13,53,0,0,0,1,0,0,0
ATL,CHI,CHI,ATL,10,34,34,Half2,4,6,78,0,-7,0,1,0,0,0
SD,DEN,SD,DEN,38,344,344,Half2,4,8,42,0,-4,0,1,0,0,0
TB,NE,TB,TB,77,72,72,Half2,4,7,-6,-9,-27,0,1,0,0,0
STL,IND,STL,IND,11,636,636,Half2,4,7,51,0,-21,0,1,0,0,0
STL,IND,STL,STL,69,161,161,Half2,4,1,9,0,-28,0,1,0,0,0
PIT,MIN,MIN,PIT,35,1307,1307,Half2,4,1,64,34,-6,1,0,0,0,0
KC,SD,KC,KC,59,1202,3002,Half1,4,1,9,0,-7,0,1,0,0,0
KC,SD,KC,SD,7,1494,1494,Half2,4,1,65,7,-20,1,0,0,0,0
KC,SD,SD,KC,1,944,944,Half2,4,1,1,0,20,0,1,0,0,0
KC,SD,KC,SD,39,432,432,Half2,4,1,8,-1,-29,0,1,0,0,0
HOU,SF,SF,HOU,38,96,1896,Half1,4,2,42,0,-21,0,1,0,0,0
CLE,GB,GB,CLE,32,1284,3084,Half1,4,1,54,0,0,0,1,0,0,0
CLE,GB,CLE,GB,1,859,859,Half2,4,1,79,0,-21,0,1,0,0,0
OAK,NYJ,NYJ,OAK,1,1686,3486,Half1,4,1,1,1,0,1,0,0,0,0
OAK,NYJ,NYJ,NYJ,77,934,2734,Half1,4,7,19,16,14,1,0,0,0,0
OAK,NYJ,OAK,NYJ,2,146,146,Half2,4,2,80,0,-38,0,1,0,0,0
CAR,BUF,CAR,BUF,13,1268,1268,Half2,4,1,71,-2,-5,0,1,0,0,0
